"Chr","Start","End","Conc","Conc_alpha","Conc_beta","Fold","p-value","FDR","Called1","Called2"
"chr1",120603581,120603781,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr10",80999942,81000142,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr10",91833842,91834042,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr10",95577016,95577216,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr10",122167795,122167995,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr11",20985187,20985387,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr11",36228694,36228894,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr11",60878373,60878573,1.43,2.38,0.04,2.33,0.00894,0.0716,1,1
"chr11",85170203,85170403,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr11",91856656,91856856,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr11",104088624,104088824,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr11",104608048,104608248,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr11",110398988,110399188,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr12",8353064,8353264,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr12",53758951,53759151,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr12",67343717,67343917,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr12",77727216,77727416,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr12",84038853,84039053,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr13",30253948,30254148,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr13",34038857,34039057,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr13",34211474,34211674,1.43,2.38,0.04,2.33,0.00894,0.0716,0,0
"chr13",37826878,37827078,1.43,2.38,0.04,2.33,0.00894,0.0716,1,2
"chr13",38162749,38162949,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr13",42695277,42695477,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr13",43236795,43236995,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr13",60245052,60245252,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr13",69946717,69946917,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr13",72958975,72959175,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr13",73718337,73718537,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr14",18794295,18794495,1.43,2.38,0.04,2.33,0.00894,0.0716,1,1
"chr14",20377157,20377357,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr14",24586994,24587194,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr14",25226653,25226853,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr14",29667327,29667527,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr14",29814721,29814921,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr14",34105033,34105233,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr14",121172077,121172277,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr15",81310548,81310748,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr15",83555528,83555728,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr15",94209263,94209463,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr15",95528668,95528868,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr15",100747122,100747322,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr16",21608232,21608432,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr16",52588537,52588737,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr16",90253934,90254134,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr16",97418053,97418253,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr17",45548832,45549032,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr17",69121028,69121228,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr17",78340237,78340437,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr18",5680242,5680442,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr18",5980001,5980201,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr18",53059092,53059292,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr19",26754515,26754715,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr19",36082962,36083162,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr19",40487587,40487787,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr19",58650113,58650313,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",11362718,11362918,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr2",49557913,49558113,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr2",74451076,74451276,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr2",78378196,78378396,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr2",84800415,84800615,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr2",123194685,123194885,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",125660072,125660272,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",129186549,129186749,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",151818050,151818250,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",155805237,155805437,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr2",181135091,181135291,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr3",30937983,30938183,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr3",33824644,33824844,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr3",35141549,35141749,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr3",57767262,57767462,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr3",69709094,69709294,1.43,2.38,0.04,2.33,0.00894,0.0716,1,0
"chr3",85339536,85339736,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr3",136007879,136008079,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr4",6447058,6447258,1.43,2.38,0.04,2.33,0.00894,0.0716,1,2
"chr4",76634098,76634298,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr4",100220133,100220333,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr4",104699421,104699621,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr4",118527137,118527337,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr4",123758379,123758579,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",65350586,65350786,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr5",100266965,100267165,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",108368941,108369141,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr5",117279262,117279462,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr5",117561183,117561383,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",130264575,130264775,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",134629688,134629888,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",134946967,134947167,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr5",137785745,137785945,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr6",54485151,54485351,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr6",94640349,94640549,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr6",100385721,100385921,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr6",108531011,108531211,1.43,2.38,0.04,2.33,0.00894,0.0716,2,3
"chr6",125572384,125572584,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr6",137370870,137371070,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",43797424,43797624,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",59072512,59072712,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",66450085,66450285,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",89298459,89298659,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",96684108,96684308,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",122940433,122940633,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr7",141351230,141351430,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr8",3567753,3567953,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr8",48509116,48509316,1.43,2.38,0.04,2.33,0.00894,0.0716,2,2
"chr8",117395189,117395389,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr8",128704504,128704704,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr9",21961608,21961808,1.43,2.38,0.04,2.33,0.00894,0.0716,1,1
"chr9",28145878,28146078,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr9",32405414,32405614,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr9",41185419,41185619,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr9",41474742,41474942,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr9",99397695,99397895,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chr9",116981243,116981443,1.43,2.38,0.04,2.33,0.00894,0.0716,2,1
"chrX",136252128,136252328,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chrX",150955470,150955670,1.43,2.38,0.04,2.33,0.00894,0.0716,2,0
"chr4",56070710,56070910,3.09,3.76,2.36,1.39,0.00896,0.0718,2,3
"chr4",140109293,140109493,2.61,3.34,1.78,1.56,0.00896,0.0718,2,3
"chr3",96708417,96708617,2.37,3.14,1.46,1.68,0.00897,0.0719,2,1
"chr10",81346799,81346999,2.37,3.14,1.46,1.68,0.00897,0.0719,1,1
"chr18",55624181,55624381,2.37,3.14,1.46,1.68,0.00897,0.0719,1,1
"chr14",30825441,30825641,3.99,4.57,3.41,1.16,0.00897,0.0719,2,3
"chr7",4546618,4546818,3.99,4.57,3.41,1.16,0.00897,0.0719,2,3
"chr2",51934841,51935041,4.29,4.85,3.74,1.11,0.00898,0.0719,2,3
"chr19",24166553,24166753,4.35,4.9,3.81,1.09,0.00901,0.0719,2,3
"chr7",16842774,16842974,3.18,3.85,2.46,1.39,0.00901,0.0719,2,3
"chrX",43318245,43318445,3.18,3.85,2.46,1.39,0.00901,0.0719,2,3
"chr7",94180134,94180334,2.6,1.21,3.1,-1.89,0.00901,0.0719,1,3
"chr5",12583342,12583542,2.6,1.21,3.1,-1.89,0.00901,0.0719,1,3
"chr4",118273581,118273781,2.6,1.21,3.1,-1.89,0.00901,0.0719,0,3
"chr3",19214600,19214800,2.79,1.52,3.26,-1.74,0.00902,0.0719,0,3
"chr3",107631637,107631837,3.72,4.33,3.1,1.23,0.00903,0.0719,2,3
"chr13",24845085,24845285,4.47,5.02,3.95,1.07,0.00903,0.0719,2,3
"chr1",22615691,22615891,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr1",85931251,85931451,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr1",158765915,158766115,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr1",177645437,177645637,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr1",182506589,182506789,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr10",13861536,13861736,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr10",14086008,14086208,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr10",49457587,49457787,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr10",69107308,69107508,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr10",69321370,69321570,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr11",6068698,6068898,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr11",49837850,49838050,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr11",77624500,77624700,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr11",81152703,81152903,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr11",100619109,100619309,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr11",103003352,103003552,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr11",117076714,117076914,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr11",119393074,119393274,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr12",28849406,28849606,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr12",85621765,85621965,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr12",99220385,99220585,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr12",110688099,110688299,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr12",117053880,117054080,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr13",31309153,31309353,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr13",42866752,42866952,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr13",54427244,54427444,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr13",98914938,98915138,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr13",99152387,99152587,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr13",100492396,100492596,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr14",25780252,25780452,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr14",46454542,46454742,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr14",63654307,63654507,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr15",31286777,31286977,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr15",78581607,78581807,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr15",85832133,85832333,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr15",91969469,91969669,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr15",96328868,96329068,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr16",30587620,30587820,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr16",82431884,82432084,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr17",47437011,47437211,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr17",69396570,69396770,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr17",84422093,84422293,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr18",58033442,58033642,1.42,2.36,0.04,2.32,0.00904,0.0719,1,1
"chr19",5072017,5072217,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr19",23524564,23524764,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr19",34212923,34213123,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr19",53066974,53067174,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",4542675,4542875,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr2",68301889,68302089,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",76654734,76654934,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",93180286,93180486,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",128159136,128159336,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",128319054,128319254,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",149795967,149796167,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr2",150858797,150858997,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr2",171676185,171676385,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr3",68434518,68434718,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr3",83910799,83910999,1.42,2.36,0.04,2.32,0.00904,0.0719,1,1
"chr3",86017508,86017708,1.42,2.36,0.04,2.32,0.00904,0.0719,2,2
"chr3",102309839,102310039,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr3",123058107,123058307,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr3",144332592,144332792,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr4",75561902,75562102,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr4",83268817,83269017,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr4",91284753,91284953,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr5",43909270,43909470,1.42,2.36,0.04,2.32,0.00904,0.0719,2,2
"chr5",68990366,68990566,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr5",112394921,112395121,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr5",137307510,137307710,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr6",29768924,29769124,1.42,2.36,0.04,2.32,0.00904,0.0719,1,0
"chr6",59053373,59053573,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr6",72235268,72235468,1.42,2.36,0.04,2.32,0.00904,0.0719,1,2
"chr6",91411578,91411778,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr6",101519001,101519201,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr7",68382352,68382552,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr7",96357699,96357899,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr7",114817624,114817824,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr7",126986402,126986602,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr7",137851187,137851387,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr7",139068242,139068442,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr7",142293912,142294112,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr8",48314128,48314328,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr8",69920270,69920470,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr8",72121575,72121775,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr8",80857867,80858067,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr9",29661553,29661753,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",32243000,32243200,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr9",62783233,62783433,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",70841008,70841208,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr9",86837805,86838005,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",99345401,99345601,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",102573062,102573262,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",102843694,102843894,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",110689596,110689796,1.42,2.36,0.04,2.32,0.00904,0.0719,2,0
"chr9",117715379,117715579,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chr9",121839365,121839565,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chrX",7740103,7740303,1.42,2.36,0.04,2.32,0.00904,0.0719,2,1
"chrX",93377560,93377760,1.42,2.36,0.04,2.32,0.00904,0.0719,2,2
"chr5",97081563,97081763,2.06,2.87,1.04,1.83,0.00904,0.0719,1,3
"chr17",56074987,56075187,4.64,5.17,4.13,1.04,0.00907,0.0722,2,3
"chr2",49787568,49787768,3.86,4.46,3.26,1.19,0.00907,0.0722,2,2
"chr14",118132744,118132944,3.99,4.57,3.41,1.16,0.00908,0.0723,2,2
"chr12",7057147,7057347,2.4,0.9,2.92,-2.02,0.00909,0.0724,1,3
"chr1",54531288,54531488,2.4,0.9,2.92,-2.02,0.00909,0.0724,1,3
"chr1",55887503,55887703,2.4,0.9,2.92,-2.02,0.00909,0.0724,1,3
"chr8",119394711,119394911,4.18,4.73,3.63,1.11,0.00909,0.0724,2,3
"chr6",91488913,91489113,3.5,4.12,2.85,1.27,0.00912,0.0724,2,3
"chr6",139878366,139878566,3.18,3.85,2.46,1.39,0.00912,0.0724,2,3
"chr15",31264957,31265157,3.6,2.62,4.01,-1.39,0.00913,0.0724,2,3
"chr1",51288779,51288979,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr1",159483100,159483300,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr1",169909163,169909363,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr10",87127281,87127481,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr11",32634298,32634498,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr11",102088454,102088654,1.41,2.35,0.04,2.31,0.00914,0.0724,1,1
"chr12",30122572,30122772,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr13",9498834,9499034,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr13",46418904,46419104,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr13",56104850,56105050,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr13",56110059,56110259,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr13",106691842,106692042,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr14",13593125,13593325,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr14",72739521,72739721,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr14",79765278,79765478,1.41,2.35,0.04,2.31,0.00914,0.0724,1,1
"chr15",79333408,79333608,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr15",79787904,79788104,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr15",101453403,101453603,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr16",17201129,17201329,1.41,2.35,0.04,2.31,0.00914,0.0724,2,2
"chr17",9167312,9167512,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr17",48781683,48781883,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr18",33086482,33086682,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr19",4257664,4257864,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr19",31531460,31531660,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr2",36203185,36203385,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr2",145786367,145786567,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr2",147185754,147185954,1.41,2.35,0.04,2.31,0.00914,0.0724,0,1
"chr2",157367601,157367801,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr2",178627871,178628071,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr2",179725596,179725796,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr3",37640076,37640276,1.41,2.35,0.04,2.31,0.00914,0.0724,2,2
"chr3",54756156,54756356,1.41,2.35,0.04,2.31,0.00914,0.0724,1,1
"chr3",141515931,141516131,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr4",45472871,45473071,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr4",97601430,97601630,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr4",131041194,131041394,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr4",149884104,149884304,1.41,2.35,0.04,2.31,0.00914,0.0724,2,2
"chr5",76928240,76928440,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr5",123641609,123641809,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr6",6459470,6459799,1.41,2.35,0.04,2.31,0.00914,0.0724,1,1
"chr6",49269312,49269512,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr6",51546204,51546404,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr6",51768039,51768239,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr6",97060326,97060526,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr7",75899072,75899272,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr7",118889358,118889558,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr7",127091229,127091429,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr7",127800480,127800680,1.41,2.35,0.04,2.31,0.00914,0.0724,1,0
"chr8",49263432,49263632,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr8",95697191,95697391,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr8",99031159,99031359,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr9",57268213,57268413,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr9",97570200,97570400,1.41,2.35,0.04,2.31,0.00914,0.0724,2,0
"chr9",116762522,116762722,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chrX",49480957,49481157,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chrX",162025318,162025518,1.41,2.35,0.04,2.31,0.00914,0.0724,2,1
"chr6",29985226,29985426,2.93,3.62,2.16,1.46,0.00915,0.0725,2,3
"chr6",125146885,125147085,2.93,3.62,2.16,1.46,0.00915,0.0725,2,1
"chr10",11515260,11515460,3.56,4.19,2.92,1.27,0.00916,0.0726,2,3
"chr5",63827806,63828006,2.61,1.25,3.1,-1.86,0.00916,0.0726,0,2
"chr7",30535064,30535264,4.69,5.22,4.19,1.03,0.00916,0.0726,2,3
"chr14",19042521,19042721,3.3,3.95,2.63,1.32,0.00918,0.0728,2,3
"chr1",46030579,46030779,2.36,3.13,1.46,1.67,0.0092,0.0729,2,2
"chr9",15670199,15670399,3.38,4.03,2.71,1.32,0.00921,0.0729,2,3
"chr14",8002869,8003069,3.38,4.03,2.71,1.32,0.00921,0.0729,2,3
"chr4",4623946,4624146,3.38,4.03,2.71,1.32,0.00921,0.0729,2,3
"chr1",35759875,35760075,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr1",43144665,43144865,1.4,2.33,0.04,2.29,0.00924,0.073,2,0
"chr1",91182151,91182351,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr1",167220657,167220857,1.4,2.33,0.04,2.29,0.00924,0.073,2,1
"chr1",167759136,167759336,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr1",169745654,169745854,1.4,2.33,0.04,2.29,0.00924,0.073,1,0
"chr10",4057907,4058107,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr10",90864564,90864764,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr11",70220989,70221189,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr11",103961375,103961575,1.4,2.33,0.04,2.29,0.00924,0.073,1,0
"chr12",111896988,111897188,1.4,2.33,0.04,2.29,0.00924,0.073,2,0
"chr13",34208144,34208344,1.4,2.33,0.04,2.29,0.00924,0.073,1,0
"chr13",34652440,34652640,1.4,2.33,0.04,2.29,0.00924,0.073,2,1
"chr13",55474568,55474768,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
"chr13",111346062,111346262,1.4,2.33,0.04,2.29,0.00924,0.073,1,0
"chr15",80704383,80704583,1.4,2.33,0.04,2.29,0.00924,0.073,1,2
"chr17",75838233,75838433,1.4,2.33,0.04,2.29,0.00924,0.073,1,1
